  1 155.42 150.65
200 155.42 136.15
  3 183.92 150.65
198 190.92 136.15
  4 205.42 150.65
  5 205.42 171.65
197 212.42 136.15
  6 226.42 171.65
  7 226.42 186.15
  8 226.42 207.15
195 254.92 136.15
 43 254.92 171.65
 42 254.92 193.15
  9 226.42 235.65
 46 276.42 150.65
194 276.42 136.15
 41 254.92 221.65
 44 276.42 171.65
 10 226.42 264.15
 40 254.92 243.15
218 293.42 136.15
 45 296.42 150.65
193 301.92 136.15
 19 155.42 299.65
 18 176.92 299.65
 48 308.92 150.65
 39 254.92 271.65
 11 226.42 292.65
196 315.92 136.15
203 155.42 314.15
192 326.42 136.15
 38 254.92 292.65
224 330.92 150.65
 20 155.42 328.15
 12 226.42 314.15
 17 176.92 328.15
 16 190.92 328.15
199 338.92 150.65
 50 338.42 174.65
191 340.42 136.15
 15 190.92 335.65
 52 338.42 200.15
 37 254.92 314.15
 14 205.42 335.65
133 347.42 150.65
 53 338.42 221.65
 13 226.42 335.65
 49 354.92 164.65
205 355.42 136.15
 51 354.92 174.65
 55 354.92 200.15
 21 155.42 356.65
 32 297.92 299.65
190 361.92 150.65
 22 183.92 356.65
207 362.92 164.65
 57 361.92 186.15
 36 254.92 335.65
 54 354.92 221.65
 56 361.92 200.15
225 368.42 150.65
189 370.42 136.15
 23 219.42 356.65
 47 375.92 150.65
  2 375.92 164.65
 31 318.92 299.65
 76 336.42 278.65
 33 290.42 328.15
 24 240.92 356.65
 74 347.42 264.15
 35 297.92 328.15
208 254.92 356.65
 34 290.42 335.65
 59 383.42 179.15
 58 383.42 186.15
 75 347.42 278.65
206 318.92 314.15
 27 387.42 136.15
216 336.42 298.65
 25 269.42 356.65
202 318.92 321.65
 72 368.92 257.15
219 336.42 306.15
 70 375.92 243.15
 30 318.92 328.15
 73 368.92 264.15
217 336.42 313.15
 71 375.92 257.15
 26 290.42 356.65
 29 318.92 335.65
188 404.42 136.15
 60 404.42 179.15
 61 404.42 186.15
 77 336.42 328.15
 98 361.92 299.65
 68 397.42 235.65
100 375.92 285.65
204 311.92 356.65
 69 397.42 243.15
 78 347.42 328.15
 28 318.92 356.65
117 419.92 150.65
116 419.92 167.65
 62 418.92 186.15
 99 375.92 299.65
 97 361.92 321.15
 63 418.92 200.15
102 397.42 271.65
187 425.92 136.15
 79 347.42 342.65
 66 418.92 221.65
223 429.92 167.65
 67 418.92 235.65
101 397.42 285.65
 96 375.92 321.15
 64 432.92 200.15
118 439.92 150.65
115 439.92 167.65
114 439.92 179.15
 65 432.92 221.65
 95 375.92 333.65
104 418.92 264.15
 80 368.92 342.65
103 418.92 271.65
209 383.42 333.65
186 447.42 136.15
220 425.92 264.15
113 447.42 179.15
 81 368.92 353.65
112 447.42 193.15
 93 397.42 321.15
119 454.42 150.65
106 439.92 250.15
 94 397.42 333.65
105 439.92 264.15
111 461.42 193.15
 91 418.92 314.15
221 391.42 353.65
 89 432.92 292.65
110 461.42 214.65
108 454.42 243.15
185 468.42 136.15
 92 418.92 321.15
107 454.42 250.15
109 461.42 243.15
120 475.92 150.65
175 475.92 160.65
121 475.92 171.65
 90 432.92 314.15
 88 447.42 292.65
 83 418.92 342.65
 82 418.92 353.65
184 489.92 136.15
 84 432.92 342.65
 87 447.42 321.15
122 496.92 171.65
123 496.92 193.15
 85 432.92 356.65
210 447.42 335.65
124 496.92 214.65
125 496.92 243.15
 86 447.42 356.65
126 496.92 271.65
130 470.42 335.65
127 496.92 292.65
211 470.42 345.65
171 525.42 171.65
170 525.42 193.15
169 525.42 214.65
222 482.92 335.65
131 470.42 356.65
182 532.42 136.15
168 525.42 233.15
128 496.92 317.15
212 525.42 250.15
214 525.42 261.15
129 496.92 335.65
173 546.92 150.65
172 546.92 171.65
167 525.42 281.65
181 553.92 136.15
132 496.92 356.65
166 525.42 299.65
150 542.92 250.15
151 542.92 264.15
165 525.42 314.15
174 568.42 150.65
164 525.42 335.65
149 560.92 250.15
180 575.42 136.15
152 560.92 264.15
215 525.42 356.65
148 575.42 250.15
213 546.92 335.65
153 575.42 264.15
134 539.92 356.65
154 575.42 271.65
179 596.42 136.15
155 582.42 271.65
147 589.42 250.15
158 560.92 335.65
146 589.42 257.15
156 582.42 285.65
176 603.92 150.65
162 575.42 321.15
135 560.92 356.65
160 582.42 314.15
163 575.42 335.65
161 582.42 321.15
157 596.42 285.65
145 610.92 257.15
183 575.42 356.65
177 624.92 150.65
178 624.92 136.15
159 596.42 314.15
144 610.92 278.65
141 610.92 321.15
137 589.42 342.65
136 589.42 356.65
138 603.92 342.65
139 610.92 342.65
140 610.92 335.65
142 624.92 321.15
201 624.92 299.65
143 624.92 278.65
  1 155.42 150.65
